number,PF,dedupPF,divisor
330,"[2, 3, 5, 11]","[2, 3, 5, 11]","[2, 3, 5, 6, 10, 11, 15, 22, 30, 33, 55, 66, 110, 165]"
331,[331],[331],[]
332,"[2, 2, 83]","[2, 83]","[2, 4, 83, 166]"
333,"[3, 3, 37]","[3, 37]","[3, 9, 37, 111]"
334,"[2, 167]","[2, 167]","[2, 167]"
335,"[5, 67]","[5, 67]","[5, 67]"
336,"[2, 2, 2, 2, 3, 7]","[2, 3, 7]","[2, 3, 4, 6, 7, 8, 12, 14, 16, 21, 24, 28, 42, 48, 56, 84, 112, 168]"
337,[337],[337],[]
338,"[2, 13, 13]","[2, 13]","[2, 13, 26, 169]"
339,"[3, 113]","[3, 113]","[3, 113]"
340,"[2, 2, 5, 17]","[2, 5, 17]","[2, 4, 5, 10, 17, 20, 34, 68, 85, 170]"
341,"[11, 31]","[11, 31]","[11, 31]"
342,"[2, 3, 3, 19]","[2, 3, 19]","[2, 3, 6, 9, 18, 19, 38, 57, 114, 171]"
343,"[7, 7, 7]",[7],"[7, 49]"
344,"[2, 2, 2, 43]","[2, 43]","[2, 4, 8, 43, 86, 172]"
345,"[3, 5, 23]","[3, 5, 23]","[3, 5, 15, 23, 69, 115]"
346,"[2, 173]","[2, 173]","[2, 173]"
347,[347],[347],[]
348,"[2, 2, 3, 29]","[2, 3, 29]","[2, 3, 4, 6, 12, 29, 58, 87, 116, 174]"
349,[349],[349],[]
350,"[2, 5, 5, 7]","[2, 5, 7]","[2, 5, 7, 10, 14, 25, 35, 50, 70, 175]"
351,"[3, 3, 3, 13]","[3, 13]","[3, 9, 13, 27, 39, 117]"
352,"[2, 2, 2, 2, 2, 11]","[2, 11]","[2, 4, 8, 11, 16, 22, 32, 44, 88, 176]"
353,[353],[353],[]
354,"[2, 3, 59]","[2, 3, 59]","[2, 3, 6, 59, 118, 177]"
355,"[5, 71]","[5, 71]","[5, 71]"
356,"[2, 2, 89]","[2, 89]","[2, 4, 89, 178]"
357,"[3, 7, 17]","[3, 7, 17]","[3, 7, 17, 21, 51, 119]"
358,"[2, 179]","[2, 179]","[2, 179]"
359,[359],[359],[]
360,"[2, 2, 2, 3, 3, 5]","[2, 3, 5]","[2, 3, 4, 5, 6, 8, 9, 10, 12, 15, 18, 20, 24, 30, 36, 40, 45, 60, 72, 90, 120, 180]"
361,"[19, 19]",[19],[19]
362,"[2, 181]","[2, 181]","[2, 181]"
363,"[3, 11, 11]","[3, 11]","[3, 11, 33, 121]"
364,"[2, 2, 7, 13]","[2, 7, 13]","[2, 4, 7, 13, 14, 26, 28, 52, 91, 182]"
365,"[5, 73]","[5, 73]","[5, 73]"
366,"[2, 3, 61]","[2, 3, 61]","[2, 3, 6, 61, 122, 183]"
